News,Compound,Date,Negative,Neutral,Positive,Source account,Text,Tweets Ago
@BBC,0.0,Wed Aug 22 12:15:45 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBC6Music: Which tunes would you add to this list? #AllDayRave  https://t.co/1izIOoaqod,60
@BBC,-0.4019,Wed Aug 22 12:02:05 +0000 2018,0.828,0.172,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",Inside Shanghai’s marriage market where parents set their children up on blind dates. https://t.co/CHpIBNc16h,61
@BBC,0.0,Wed Aug 22 11:30:59 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcpress: ""By order of the #PeakyBlinders."" @ThePeakyBlinder moves to @BBCOne: https://t.co/VUCZAOjIX1 #EdTVFest https://t.co/fEA0Rv7ihh",62
@BBC,-0.0382,Wed Aug 22 11:01:06 +0000 2018,0.943,0.057,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",More than a third of farmed fruit and vegetables never reaches supermarket shelves because it is misshapen or the w… https://t.co/10Bqhnzz8j,63
@BBC,0.0,Wed Aug 22 10:53:23 +0000 2018,1.0,0.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCTheOneShow: That time Sir @LennyHenry bumped into the Queen of Soul in an airport! 🌹 https://t.co/QDXsgrA2nX,64
@BBC,0.0,Wed Aug 22 08:00:09 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🦎🎨 How do chameleons change colour?  https://t.co/4fbUTZLbO7,65
@BBC,0.1779,Wed Aug 22 07:28:08 +0000 2018,0.7,0.115,0.185,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","There is high public support for using the tax system to reduce waste from single-use plastics, the Treasury says.… https://t.co/QPl3U2qmOj",66
@BBC,-0.6486,Wed Aug 22 07:00:10 +0000 2018,0.823,0.177,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","💀☕️ Once described as 'Pluto's diet drink that witches tipple out of dead men's skulls', this is the hidden history… https://t.co/lXzium5gWR",67
@BBC,0.5106,Tue Aug 21 18:01:02 +0000 2018,0.708,0.0,0.292,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",🙌 The unsung heroes of the NHS. https://t.co/Sq8bpihvgc,68
@BBC,0.0,Tue Aug 21 17:01:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🤰 Pregnancy might just be catching at a hospital in Mesa, Arizona, where 16 nurses are expecting at once.
👉… https://t.co/odeY20yOla",69
@BBC,0.0,Tue Aug 21 16:01:02 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",♻️🌍 Is reusing the new recycling?  https://t.co/D92t7CEiyB,70
@BBC,0.5106,Tue Aug 21 13:46:53 +0000 2018,0.798,0.0,0.202,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCTheOneShow: Learn to pitch like a pro with these top tips from Dragons' Den star @DeborahMeaden  💁🐲
#WorldEntrepreneursDay https://t…",71
@BBC,0.6597,Tue Aug 21 13:01:07 +0000 2018,0.779,0.0,0.221,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","From Charmed to Buffy, here are all the '90s TV reboots we're deliriously excited for.
👉 https://t.co/6PwqlFMTLl https://t.co/n8gibv7DiJ",72
@BBC,0.5707,Tue Aug 21 12:40:46 +0000 2018,0.813,0.0,0.187,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcstrictly: Say hello to the #Strictly class of 2018! 👋✨
Meet our fabulous 15: https://t.co/SUvuhlm6fE https://t.co/xgQnshXomS",73
@BBC,0.0,Tue Aug 21 12:00:16 +0000 2018,1.0,0.0,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","🥑 🥑 🥑 🥑 🥑
This is the AVOZILLA - five times bigger than a regular avocado. https://t.co/FiD9eXNzqg",74
@BBC,-0.3182,Tue Aug 21 11:01:08 +0000 2018,0.905,0.095,0.0,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","💍🥕 A gold ring that was lost in a vegetable garden 12 years ago has been found on a carrot dug up for dinner.
👉… https://t.co/ggVGReMlxy",75
@BBC,-0.3089,Tue Aug 21 10:47:03 +0000 2018,0.903,0.097,0.0,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RT @BBCFOUR: “When I go grocery shopping, I’m not shopping ‘dwarfishly’. You know what I mean? It’s not magical or special that I’m shoppin…",76
@BBC,0.6114,Tue Aug 21 10:18:57 +0000 2018,0.693,0.0,0.307,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @bbcasiannetwork: Eid Mubarak to everyone celebrating! #Eid #EidAlAdha https://t.co/bxDMxXnS4y,77
